 ,Label,Area,X,Y,BX,BY,Width,Height,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,Length,Line,Specimen
1,EJ-17-101 6 blue.tif,2.780E-4,0.798,0.343,0.773,0.231,0.051,0.224,-102.724,0.229,642.000,378.000,77.276,6.939E-18,0.229,L1,1
2,EJ-17-101 6 blue.tif,6.777E-4,1.119,0.278,0.845,0.217,0.549,0.123,-12.609,0.562,702.000,180.000,167.391,0.000,0.562,L2,1
3,EJ-17-101 6 blue.tif,3.244E-4,1.427,0.472,1.413,0.338,0.028,0.267,-84.058,0.268,1174.231,281.154,95.965,0.000,0.268,L3,1
4,EJ-17-101 6 blue.tif,2.693E-4,2.257,0.486,2.253,0.374,0.008,0.223,88.152,0.223,1872.154,496.154,87.955,1.735E-18,0.223,L4,2
5,EJ-17-101 6 blue.tif,7.255E-4,2.561,0.390,2.261,0.383,0.600,0.016,-1.489,0.601,1878.769,317.538,178.483,3.469E-18,0.601,L5,2
6,EJ-17-101 6 blue.tif,4.634E-4,2.989,0.541,2.866,0.393,0.247,0.295,-50.080,0.384,2381.539,327.462,129.958,2.776E-17,0.384,L6,2
7,EJ-17-101 6 blue.tif,1.984E-4,0.814,0.961,0.788,0.883,0.052,0.155,108.435,0.164,654.923,734.308,108.435,6.939E-18,0.164,L7,3
8,EJ-17-101 6 blue.tif,7.516E-4,1.097,0.921,0.788,0.876,0.617,0.091,-8.427,0.624,654.923,727.692,171.560,0.000,0.624,L8,3
9,EJ-17-101 6 blue.tif,3.664E-4,1.489,1.107,1.413,0.975,0.152,0.262,-60.170,0.303,1174.231,810.385,119.932,0.000,0.303,L9,3
10,l50_9 blue.tif,8.392E-5,0.509,0.303,0.488,0.251,0.042,0.102,112.529,0.111,648.308,334.077,112.521,0.000,0.111,L1,1
11,l50_9 blue.tif,2.200E-4,0.634,0.255,0.488,0.254,0.291,0.002,-0.444,0.291,648.308,337.385,179.510,0.000,0.291,L2,1
12,l50_9 blue.tif,6.010E-5,0.806,0.291,0.787,0.257,0.038,0.070,-62.216,0.079,1045.231,340.692,118.179,0.000,0.079,L3,1
13,l50_9 blue.tif,6.180E-5,1.415,0.406,1.387,0.376,0.055,0.059,132.739,0.081,1842.385,499.462,132.510,6.939E-18,0.081,L4,2
14,l50_9 blue.tif,2.478E-4,1.540,0.319,1.385,0.267,0.311,0.105,18.601,0.328,1839.077,492.846,18.572,1.388E-17,0.328,L5,2
15,l50_9 blue.tif,1.474E-4,1.786,0.310,1.699,0.267,0.175,0.087,-26.565,0.195,2255.846,353.923,153.435,0.000,0.195,L6,2
16,l50_9 blue.tif,6.974E-5,0.448,0.697,0.438,0.653,0.020,0.090,102.325,0.092,582.154,866.615,102.529,0.000,0.092,L7,3
17,l50_9 blue.tif,2.319E-4,0.592,0.640,0.438,0.630,0.306,0.020,3.795,0.307,582.154,863.308,3.721,0.000,0.307,L8,3
18,l50_9 blue.tif,1.639E-4,0.834,0.687,0.742,0.630,0.184,0.114,-31.984,0.217,985.692,836.846,148.134,0.000,0.217,L9,3
19,l50_9 blue.tif,5.953E-5,1.420,0.758,1.400,0.725,0.040,0.067,120.774,0.078,1858.923,962.538,120.651,0.000,0.078,L10,4
20,l50_9 blue.tif,1.593E-4,1.503,0.694,1.402,0.663,0.202,0.062,17.208,0.211,1862.231,962.538,17.152,6.939E-18,0.211,L11,4
21,l50_9 blue.tif,1.452E-4,1.701,0.692,1.609,0.665,0.184,0.055,-16.377,0.192,2136.769,883.154,163.443,0.000,0.192,L12,4
22,l50_9 blue.tif,6.067E-5,0.574,1.303,0.570,1.263,0.008,0.080,95.440,0.080,757.462,1677.000,95.356,0.000,0.080,L13,5
23,l50_9 blue.tif,1.616E-4,0.682,1.260,0.575,1.261,0.214,0.000,0.000,0.214,764.077,1673.692,0.000,0.000,0.214,L14,5
24,l50_9 blue.tif,1.128E-4,0.866,1.306,0.807,1.261,0.117,0.092,-38.254,0.149,1071.692,1673.692,141.789,0.000,0.149,L15,5
25,l50_9 blue.tif,5.783E-5,1.220,1.384,1.208,1.347,0.025,0.072,71.030,0.076,1604.231,1885.385,70.974,0.000,0.076,L16,6
26,l50_9 blue.tif,1.378E-4,1.326,1.344,1.236,1.340,0.181,0.008,2.366,0.182,1640.615,1789.462,2.353,0.000,0.182,L17,6
27,l50_9 blue.tif,9.015E-5,1.481,1.366,1.427,1.340,0.107,0.052,-26.241,0.119,1895.308,1779.538,153.970,0.000,0.119,L18,6
